CR2y7yEm4X035ZMzrTtN9Q,Jim,user,0,7,0,6,5.0
_9GXoHhdxc30ujPaQwh6Ew,Kelle,user,0,1,0,2,1.0
8mM-nqxjg6pT04kwcjMbsw,Stephanie,user,0,1,0,2,5.0
Ch6CdTR2IVaVANr-RglMOg,T,user,0,2,0,2,5.0
NZrLmHRyiHmyT1JrfzkCOA,Beth,user,0,0,0,1,1.0
mWx5Sxt_dx-sYBZg6RgJHQ,Amy,user,30,45,36,19,3.79
hryUDaRk7FLuDAYui2oldw,Beach,user,28,130,31,207,3.83
2t6fZNLtiqsihVmeO7zggg,christine,user,1,0,1,2,3.0
mn6F-eP5WU37b-iLTop2mQ,Denis,user,0,3,2,4,4.5
myXq7PFXkD_yfXT580SXMw,Shawn,user,5,24,9,10,3.9
EMpFiVyiaMS58XsLZdS6vA,Carey,user,3,16,6,6,3.4
74Y-B-8MJhshV7aYSQ93lQ,Johnatton,user,0,5,1,5,3.4
34ir_XnUsrqserEuSZdGQA,David,user,50,109,49,83,3.39
1Aq2NzZGREMRdAkw55V7dg,Marcus,user,1,3,1,8,2.88
B7XCvzvcriFc8xfIA-Wg4A,Renee,user,0,0,0,1,5.0
1aoDw1jVm5UQrVacWg0vnw,s,user,6,4,1,8,2.12
iH6y1T5AZZxaKpSNmvjGWw,joe,user,3,7,3,4,4.75
2tyadgcxcaEu5LWgLdwLAQ,Na Humma,user,2,24,0,22,4.23
mc2glxrNAZuPnCudIaoK4Q,Kay,user,0,10,4,11,3.64
LKFo-Z93fhHHF-CkXoXvLw,Cara,user,1,11,3,4,3.75
09ZCt5inrt35zuJVtxBB5A,Shelly,user,0,5,1,2,2.5
aSwY5VAO1S0uZASZlZgB3A,Ashley,user,9,81,31,56,3.79
oh3BckWd5WXSANfGlnjErQ,Megan,user,0,3,1,7,4.5
y5YxcvgbQX_uVW0UtHWKxA,Ann-Marie,user,0,7,0,9,4.0
Vu29H1sy1poRld4LIL2Jqw,Sandy,user,0,1,1,3,3.67
iK7I2HQ8kiyms_XuENr55w,Juli,user,0,1,1,2,5.0
QlSVps_q61IThBo489_Zyw,Mike,user,0,0,0,1,5.0
mzenirXt-7sZR2RhkhvLDQ,Jordan,user,5,15,0,3,3.0
qMCT8OblN3finTvXcba-oA,Elizabeth,user,13,21,5,16,3.62
jy94hgtLcuD0BbZ7o8KCYQ,Dan,user,1,7,3,4,4.5
8lrTKMjIJ9kt7rfVtjq3qg,Beth,user,0,2,2,3,5.0
IcSsf2QCA7T-KpdraDxTew,Scott,user,0,3,2,6,3.8
d09KNIq4YPYq1u5nVyqIUg,Michael,user,0,2,0,8,3.86
vxxNafFH_OMD5B1l231toA,Kelly,user,0,0,0,1,5.0
bwPaqC08ddUoq-zminI3bw,Leslie,user,0,5,1,6,3.17
LzT8mSfliJHhs68RTwQW5w,Steve,user,4,3,0,3,4.0
vAAeeV-kqabpuVr-DmtdFA,Kathey,user,1,4,0,4,1.33
R75rQfzSeXzO9LVh0MFjJg,Clay,user,2,8,2,8,3.75
D_nff52rbs-OCZbVXeCqzg,Amanda,user,0,4,1,1,5.0
6lyD0ZdmmYZsOMFFwOWsog,Amy,user,0,3,1,8,2.62
hqjDAPapGKJ3U4wUN1dGMA,LaToya,user,1,5,3,3,4.33
iR8iTaCOjQCM-JG4qf23NQ,Kate,user,113,386,147,155,3.79
1Md7FNu_GujIwxbb9TqSqQ,DAVID,user,1,3,1,18,3.89
-LmTXrlHEfLpDi34FVXNAg,Camille,user,0,1,0,9,4.0
ysZSP646Ikjb9pPKxuBurw,Lorena,user,1,2,0,5,4.2
gXQ3peDz-H8mFZO_U4ys3w,Riana,user,21,38,37,30,4.27
8gIp7Emu7xBDnBjRKgkSOg,Mimi,user,5,17,8,15,3.87
44302NAooinHOKKIWHDKXA,Kelsey,user,8,20,12,41,4.07
BDa9RGFZv9TV2lGAiuqjxQ,Mary,user,1,1,1,1,5.0
qw8n1PUrt4qBh-4eMjfv0Q,Carmen,user,1,14,2,27,4.11
F2M53He6gzMb1vp3m7cKJg,Syd,user,0,3,0,10,4.78
Mcdt7tUA7jqiqCtyxXgq4g,Kristina,user,0,0,0,2,2.0
q10h5nL1LnbaKMlNOfahfQ,O,user,2,6,1,3,4.33
CUUpi7gtqx1zojEGJ6Z5ew,Gabe,user,317,1244,890,407,3.82
6hvcowqr8NYug9u-Bzw8Jg,Jay,user,295,795,527,379,3.51
pjfwk6ZnCAcJAsX4V6QhpA,Dustin,user,1,1,1,1,5.0
BqmMeZQD03LHJ_vibTOp2g,Dino,user,3,6,2,8,3.88
lodglSjhVGXzRUTDMoyOCg,Brian,user,26,35,16,118,3.14
vSxaLh9RCl1BJDbIt0hxww,Ruby,user,2,5,0,5,4.0
yBMGCKvNXnb9Gr6VVRTHGw,Gerard,user,0,4,0,2,1.5
1zKpgs-JZixiWiS8PWdj2w,Trinidad,user,0,0,1,3,5.0
lzHNLEvRNFN-RQFmczYNBw,Katie,user,11,17,11,15,4.14
